Mnozstvi cokolady,Poruch cepel,Poruch filtru,Poruch stroje,Zatvrdnuti cokolady,Vyrobeno cokolady
50,5,90,258,0,3677.936
55,10,87,243,0,3802.846
60,7,83,233,0,4008.138
65,3,88,262,0,4217.805
70,9,86,262,0,4342.173
74,12,73,245,0,4406.111
75,6,87,273,0,4495.423
76,1,74,253,2558,4408.304
77,11,80,251,4773,4186.009
78,7,108,253,6971,4064.702
79,6,80,259,8893,3967.276
80,2,87,256,10823,3906.272
85,5,91,246,18271,3517.709
90,7,74,247,23745,3185.453
95,5,82,237,27931,2984.075
100,5,90,239,30941,2785.517
